kategori,soru_id,soru,soru_turu,neden_onemli,kanit_turu,kanit_kaynak_grubu,kanit_kaynak_rolu,ornek_kaynaklar,kaynak_sayisi,calisan_kaynak,neden_gecerli,zayif_alternatif
mobil-uygulama,doygun-mu,"Pazar doygun mu, boşluk var mı?",ortak,Doygunsa farklılaşma zorunlu; değilse hızlı giriş mümkün,İlk 20'nin yorum sayısı dağılımı ve son güncelleme tarihleri,Mobil uygulama mağazaları,kategori,"APKMirror, Apple App Store, Aptoide, F-Droid",13,11,"Yorumun az sayıda uygulamada toplanması doygunluğu, dağılması boşluğu gösterir",Toplam uygulama sayısı — bakımı bırakılmış uygulamalar rekabet değildir
mobil-uygulama,giris-engeli,Bu pazara girişin önünde ne var?,ortak,"Teknik, yasal ya da dağıtım engeli varsa maliyet ve süre değişir",Alandaki patent başvuru yoğunluğu ve baskın hak sahipleri,Patent ve marka,ortak,"EUIPO, Google Patents, Justia Patents, The Trademark Search Company",13,9,Patent kaydı kamuya açık ve tarihlidir,Patent sayısının çokluğu tek başına — çoğu uygulanmıyor olabilir
mobil-uygulama,kesfedilebilirlik,Ürün platformda keşfedilebilir mi?,kategoriye-ozel,Katalog çok büyükse iyi ürün bile görünmez kalır,Kategorideki toplam uygulama sayısı ve ilk sayfaya girme eşiği,Mobil uygulama mağazaları,kategori,"APKMirror, Apple App Store, Aptoide, F-Droid",13,11,Katalog büyüklüğü görünürlüğün maliyetini doğrudan belirler,Genel 'ASO zor' yorumları — sayı vermez
mobil-uygulama,odeme-istegi,"Kullanıcılar bunun için para ödüyor mu, ne kadar?",ortak,Fiyat aralığı iş modelini ve gereken ölçeği belirler,"Ücretli uygulamaların fiyat aralığı, uygulama içi satın alma kalemleri",Mobil uygulama mağazaları,kategori,"APKMirror, Apple App Store, Aptoide, F-Droid",13,11,"Yayınlanmış fiyat, satıcının gerçekten talep ettiği bedeldir",Anket sonuçları — 'öderim' demek ödemekle aynı şey değildir
mobil-uygulama,platform-politikasi,Platform politikası bu ürüne izin veriyor mu?,kategoriye-ozel,Mağaza reddi ürünü tamamen engeller; geliştirmeden önce bilinmeli,Mağazanın yayın kuralları ve reddedilen işlev listeleri,Mobil uygulama mağazaları,kategori,"APKMirror, Apple App Store, Aptoide, F-Droid",13,11,Kural metni bağlayıcıdır; ret gerekçeleri önceden görülebilir,Forumlardaki 'benimki reddedildi' anlatıları — tekil vaka
mobil-uygulama,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,ortak,Rakip yoksa ya pazar yoktur ya da erken; varsa kimin ne yaptığı bilinmeli,"Kategori sıralamasındaki ilk 20 uygulama, geliştirici adları",Mobil uygulama mağazaları,kategori,"APKMirror, Apple App Store, Aptoide, F-Droid",13,11,"Mağaza sıralaması indirme ve etkileşime dayanır, editoryal seçim değildir",'En iyi 10 uygulama' listesi yapan blog yazıları — çoğu ortaklık bağlantılı
mobil-uygulama,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,ortak,Rakip yoksa ya pazar yoktur ya da erken; varsa kimin ne yaptığı bilinmeli,"Alanda yatırım almış şirketler, tur büyüklükleri ve tarihleri","Şirket, yatırım ve startup verisi",ortak,"500 Global Companies, AngelList, Apollo, CB Insights",28,26,Yatırım kaydı doğrulanabilir ve tarihlidir,Basın bültenlerindeki 'lider konum' iddiaları
mobil-uygulama,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,ortak,Farklılaşmanın nereden geleceğini belirler; ürün kararını doğrudan etkiler,Düşük puanlı yorumlarda tekrar eden şikâyet başlıkları,Mobil uygulama mağazaları,kategori,"APKMirror, Apple App Store, Aptoide, F-Droid",13,11,"Kullanıcının kendi cümlesiyle yazdığı sorun, ikinci elden yorum değil",Uygulamanın ortalama puanı — neyin bozuk olduğunu söylemez
mobil-uygulama,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,ortak,Farklılaşmanın nereden geleceğini belirler; ürün kararını doğrudan etkiler,Tekrar eden şikâyet ve 'alternatif arıyorum' gönderileri,Sosyal ağlar ve açık topluluklar,ortak,"Bluesky, Discord, Discourse, Groups.io",24,15,Kullanıcı kendi sorununu kendi cümlesiyle yazar,Beğeni sayısı yüksek tek bir gönderi
mobil-uygulama,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Hedef kitlenin büyüklüğü ve ilgili sektör istatistikleri,Kamu verisi ve istatistik,ortak,"Bureau of Labor Statistics, Data.gov, Destatis, Eurostat",25,21,Resmî istatistik yöntemi açıklanmış ve tekrarlanabilir ölçümdür,Pazar araştırması şirketlerinin ücretli rapor özetleri
mobil-uygulama,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Kategorideki uygulama sayısı ve ilk 20'nin toplam yorum hacmi,Mobil uygulama mağazaları,kategori,"APKMirror, Apple App Store, Aptoide, F-Droid",13,11,Yorum ancak indirip kullandıktan sonra yazılır; iddia değil davranıştır,Uygulama sayısı tek başına — 50 uygulamanın 45'i terk edilmiş olabilir
mobil-uygulama,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Problem ifade eden uzun kuyruk aramaların hacmi,"Trafik, SEO, anahtar kelime ve trend",ortak,"Ahrefs, AnswerThePublic, Bing Webmaster Tools, BuzzSumo",24,23,"İnsanın kendi kelimeleriyle aradığı problem, doğrudan talep sinyalidir","Marka adı aramaları — mevcut farkındalığı ölçer, ihtiyacı değil"
mobil-uygulama,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",ortak,"Küçülen pazara girmek, doygun pazara girmekten daha risklidir","Sıralama değişimi ve indirme tahmini eğrisi (Sensor Tower, AppMagic)",Mobil uygulama mağazaları,kategori,"APKMirror, Apple App Store, Aptoide, F-Droid",13,11,Zaman serisi yön gösterir; tek ölçüm göstermez,Tek bir aylık indirme sayısı — sezonluk dalgalanma olabilir
mobil-uygulama,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",ortak,"Küçülen pazara girmek, doygun pazara girmekten daha risklidir",Anahtar kelimenin aylık arama hacmi ve 24 aylık eğrisi,"Trafik, SEO, anahtar kelime ve trend",ortak,"Ahrefs, AnswerThePublic, Bing Webmaster Tools, BuzzSumo",24,23,Arama hacmi niyetin ölçüsüdür ve zaman serisi yön verir,Tek bir aylık hacim; 'trend oluyor' diyen yazılar
mobil-uygulama,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,ortak,Ürün doğru olsa bile dağıtım kanalı yoksa satılamaz,Rakiplerin hangi kanalda reklam verdiği ve mesaj başlıkları,Reklam kütüphaneleri ve pazarlama sinyalleri,ortak,"Adbeat, AppMagic, BigSpy, Google Ads Transparency Center",16,14,"Reklam kütüphaneleri yayınlanmış gerçek reklamları gösterir; para harcanan kanal, işleyen kanaldır",'Sosyal medyadan ulaşırız' varsayımı — hangi kanalın çalıştığını söylemez
mobil-uygulama,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,ortak,Ürün doğru olsa bile dağıtım kanalı yoksa satılamaz,Hedef kitlenin toplandığı topluluklar ve üye sayıları,Sosyal ağlar ve açık topluluklar,ortak,"Bluesky, Discord, Discourse, Groups.io",24,15,"Var olan topluluk, kitlenin nerede olduğunun doğrudan kanıtıdır",Genel kullanıcı sayısı istatistikleri — hedef kitleyi ayırmaz
oyun,doygun-mu,"Pazar doygun mu, boşluk var mı?",ortak,Doygunsa farklılaşma zorunlu; değilse hızlı giriş mümkün,"Türdeki oyun sayısı, eşzamanlı oyuncu dağılımı, inceleme sayıları",Oyun dikeyi,kategori,"Epic Games Store, GOG, Game Developer, Metacritic",17,12,Eşzamanlı oyuncu sayısı platformun kendi ölçümüdür,Satış tahmini yapan üçüncü taraf blogları
oyun,giris-engeli,Bu pazara girişin önünde ne var?,ortak,"Teknik, yasal ya da dağıtım engeli varsa maliyet ve süre değişir",Alandaki patent başvuru yoğunluğu ve baskın hak sahipleri,Patent ve marka,ortak,"EUIPO, Google Patents, Justia Patents, The Trademark Search Company",13,9,Patent kaydı kamuya açık ve tarihlidir,Patent sayısının çokluğu tek başına — çoğu uygulanmıyor olabilir
oyun,kesfedilebilirlik,Ürün platformda keşfedilebilir mi?,kategoriye-ozel,Katalog çok büyükse iyi ürün bile görünmez kalır,Platformdaki yıllık yayın sayısı ve öne çıkma kriterleri,Oyun dikeyi,kategori,"Epic Games Store, GOG, Game Developer, Metacritic",17,12,Katalog büyümesi görünürlük maliyetini belirler,Başarılı tek bir bağımsız oyun hikâyesi — hayatta kalma yanılgısı
oyun,odeme-istegi,"Kullanıcılar bunun için para ödüyor mu, ne kadar?",ortak,Fiyat aralığı iş modelini ve gereken ölçeği belirler,Türdeki oyunların fiyat aralığı ve indirim sıklığı,Oyun dikeyi,kategori,"Epic Games Store, GOG, Game Developer, Metacritic",17,12,"Sık indirim, fiyat baskısının işaretidir",Liste fiyatı tek başına
oyun,platform-politikasi,Platform politikası bu ürüne izin veriyor mu?,kategoriye-ozel,Mağaza reddi ürünü tamamen engeller; geliştirmeden önce bilinmeli,Platformun yayın kuralları ve içerik kısıtları,Oyun dikeyi,kategori,"Epic Games Store, GOG, Game Developer, Metacritic",17,12,Kural metni bağlayıcıdır; ret gerekçeleri önceden görülebilir,Benzer oyunların yayınlanmış olması — kural değişmiş olabilir
oyun,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,ortak,Rakip yoksa ya pazar yoktur ya da erken; varsa kimin ne yaptığı bilinmeli,"Alanda yatırım almış şirketler, tur büyüklükleri ve tarihleri","Şirket, yatırım ve startup verisi",ortak,"500 Global Companies, AngelList, Apollo, CB Insights",28,26,Yatırım kaydı doğrulanabilir ve tarihlidir,Basın bültenlerindeki 'lider konum' iddiaları
oyun,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,ortak,Farklılaşmanın nereden geleceğini belirler; ürün kararını doğrudan etkiler,Tekrar eden şikâyet ve 'alternatif arıyorum' gönderileri,Sosyal ağlar ve açık topluluklar,ortak,"Bluesky, Discord, Discourse, Groups.io",24,15,Kullanıcı kendi sorununu kendi cümlesiyle yazar,Beğeni sayısı yüksek tek bir gönderi
oyun,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Hedef kitlenin büyüklüğü ve ilgili sektör istatistikleri,Kamu verisi ve istatistik,ortak,"Bureau of Labor Statistics, Data.gov, Destatis, Eurostat",25,21,Resmî istatistik yöntemi açıklanmış ve tekrarlanabilir ölçümdür,Pazar araştırması şirketlerinin ücretli rapor özetleri
oyun,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Problem ifade eden uzun kuyruk aramaların hacmi,"Trafik, SEO, anahtar kelime ve trend",ortak,"Ahrefs, AnswerThePublic, Bing Webmaster Tools, BuzzSumo",24,23,"İnsanın kendi kelimeleriyle aradığı problem, doğrudan talep sinyalidir","Marka adı aramaları — mevcut farkındalığı ölçer, ihtiyacı değil"
oyun,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",ortak,"Küçülen pazara girmek, doygun pazara girmekten daha risklidir",Anahtar kelimenin aylık arama hacmi ve 24 aylık eğrisi,"Trafik, SEO, anahtar kelime ve trend",ortak,"Ahrefs, AnswerThePublic, Bing Webmaster Tools, BuzzSumo",24,23,Arama hacmi niyetin ölçüsüdür ve zaman serisi yön verir,Tek bir aylık hacim; 'trend oluyor' diyen yazılar
oyun,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,ortak,Ürün doğru olsa bile dağıtım kanalı yoksa satılamaz,Rakiplerin hangi kanalda reklam verdiği ve mesaj başlıkları,Reklam kütüphaneleri ve pazarlama sinyalleri,ortak,"Adbeat, AppMagic, BigSpy, Google Ads Transparency Center",16,14,"Reklam kütüphaneleri yayınlanmış gerçek reklamları gösterir; para harcanan kanal, işleyen kanaldır",'Sosyal medyadan ulaşırız' varsayımı — hangi kanalın çalıştığını söylemez
oyun,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,ortak,Ürün doğru olsa bile dağıtım kanalı yoksa satılamaz,Hedef kitlenin toplandığı topluluklar ve üye sayıları,Sosyal ağlar ve açık topluluklar,ortak,"Bluesky, Discord, Discourse, Groups.io",24,15,"Var olan topluluk, kitlenin nerede olduğunun doğrudan kanıtıdır",Genel kullanıcı sayısı istatistikleri — hedef kitleyi ayırmaz
yapay-zeka-urunu,birim-maliyet,Çalıştırma maliyeti sürdürülebilir mi?,kategoriye-ozel,"Çıkarım/işlem maliyeti birim ekonomiyi belirler, fiyatlandırmayı kısıtlar",Model sağlayıcılarının token/istek başına yayınlanmış fiyatları,"Yapay zekâ modeli, veri seti ve agent ekosistemi",kategori,"AWS Marketplace, Artificial Analysis, Azure Marketplace, Composio",24,22,Yayınlanmış fiyat birim maliyeti doğrudan hesaplanabilir kılar,'Maliyetler düşüyor' genellemesi
yapay-zeka-urunu,doygun-mu,"Pazar doygun mu, boşluk var mı?",ortak,Doygunsa farklılaşma zorunlu; değilse hızlı giriş mümkün,Entegrasyon dizinlerindeki benzer araç sayısı ve güncellik durumu,"Yapay zekâ modeli, veri seti ve agent ekosistemi",kategori,"AWS Marketplace, Artificial Analysis, Azure Marketplace, Composio",24,22,Dizinler ekosistemin doluluk derecesini gösterir,Ürün avı sitelerindeki günlük lansman sayısı
yapay-zeka-urunu,giris-engeli,Bu pazara girişin önünde ne var?,ortak,"Teknik, yasal ya da dağıtım engeli varsa maliyet ve süre değişir",Alandaki patent başvuru yoğunluğu ve baskın hak sahipleri,Patent ve marka,ortak,"EUIPO, Google Patents, Justia Patents, The Trademark Search Company",13,9,Patent kaydı kamuya açık ve tarihlidir,Patent sayısının çokluğu tek başına — çoğu uygulanmıyor olabilir
yapay-zeka-urunu,lisans-modeli,Lisans modeli benimsenmeyi engelliyor mu?,kategoriye-ozel,Açık kaynak beklenen bir alanda ticari lisans benimsenmeyi durdurur,Alandaki modellerin lisans türleri ve ticari kullanım kısıtları,"Yapay zekâ modeli, veri seti ve agent ekosistemi",kategori,"AWS Marketplace, Artificial Analysis, Azure Marketplace, Composio",24,22,Model kartlarındaki lisans metni bağlayıcıdır ve ticari kullanımı belirler,'Açık ağırlıklı' ifadesi — ticari kullanıma izin verdiği anlamına gelmez
yapay-zeka-urunu,odeme-istegi,"Kullanıcılar bunun için para ödüyor mu, ne kadar?",ortak,Fiyat aralığı iş modelini ve gereken ölçeği belirler,Ücretli API katmanı sunan benzer ürünlerin fiyatlandırma sayfaları,"Yapay zekâ modeli, veri seti ve agent ekosistemi",kategori,"AWS Marketplace, Artificial Analysis, Azure Marketplace, Composio",24,22,"Yayınlanmış API fiyatı, ödeme isteğinin ölçülebilir karşılığıdır",Açık kaynak modelin indirme sayısı — ücretsiz kullanım ödeme demek değil
yapay-zeka-urunu,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,ortak,Rakip yoksa ya pazar yoktur ya da erken; varsa kimin ne yaptığı bilinmeli,Aynı işlevi sunan model/agent listeleri ve kıyaslama sıralamaları,"Yapay zekâ modeli, veri seti ve agent ekosistemi",kategori,"AWS Marketplace, Artificial Analysis, Azure Marketplace, Composio",24,22,Kıyaslama tabloları ölçülmüş performans karşılaştırmasıdır,Duyuru blog yazılarındaki iddia edilen performans
yapay-zeka-urunu,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,ortak,Rakip yoksa ya pazar yoktur ya da erken; varsa kimin ne yaptığı bilinmeli,"Alanda yatırım almış şirketler, tur büyüklükleri ve tarihleri","Şirket, yatırım ve startup verisi",ortak,"500 Global Companies, AngelList, Apollo, CB Insights",28,26,Yatırım kaydı doğrulanabilir ve tarihlidir,Basın bültenlerindeki 'lider konum' iddiaları
yapay-zeka-urunu,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,ortak,Farklılaşmanın nereden geleceğini belirler; ürün kararını doğrudan etkiler,Tekrar eden şikâyet ve 'alternatif arıyorum' gönderileri,Sosyal ağlar ve açık topluluklar,ortak,"Bluesky, Discord, Discourse, Groups.io",24,15,Kullanıcı kendi sorununu kendi cümlesiyle yazar,Beğeni sayısı yüksek tek bir gönderi
yapay-zeka-urunu,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Hedef kitlenin büyüklüğü ve ilgili sektör istatistikleri,Kamu verisi ve istatistik,ortak,"Bureau of Labor Statistics, Data.gov, Destatis, Eurostat",25,21,Resmî istatistik yöntemi açıklanmış ve tekrarlanabilir ölçümdür,Pazar araştırması şirketlerinin ücretli rapor özetleri
yapay-zeka-urunu,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Problem ifade eden uzun kuyruk aramaların hacmi,"Trafik, SEO, anahtar kelime ve trend",ortak,"Ahrefs, AnswerThePublic, Bing Webmaster Tools, BuzzSumo",24,23,"İnsanın kendi kelimeleriyle aradığı problem, doğrudan talep sinyalidir","Marka adı aramaları — mevcut farkındalığı ölçer, ihtiyacı değil"
yapay-zeka-urunu,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",ortak,"Küçülen pazara girmek, doygun pazara girmekten daha risklidir",Anahtar kelimenin aylık arama hacmi ve 24 aylık eğrisi,"Trafik, SEO, anahtar kelime ve trend",ortak,"Ahrefs, AnswerThePublic, Bing Webmaster Tools, BuzzSumo",24,23,Arama hacmi niyetin ölçüsüdür ve zaman serisi yön verir,Tek bir aylık hacim; 'trend oluyor' diyen yazılar
yapay-zeka-urunu,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,ortak,Ürün doğru olsa bile dağıtım kanalı yoksa satılamaz,Rakiplerin hangi kanalda reklam verdiği ve mesaj başlıkları,Reklam kütüphaneleri ve pazarlama sinyalleri,ortak,"Adbeat, AppMagic, BigSpy, Google Ads Transparency Center",16,14,"Reklam kütüphaneleri yayınlanmış gerçek reklamları gösterir; para harcanan kanal, işleyen kanaldır",'Sosyal medyadan ulaşırız' varsayımı — hangi kanalın çalıştığını söylemez
yapay-zeka-urunu,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,ortak,Ürün doğru olsa bile dağıtım kanalı yoksa satılamaz,Hedef kitlenin toplandığı topluluklar ve üye sayıları,Sosyal ağlar ve açık topluluklar,ortak,"Bluesky, Discord, Discourse, Groups.io",24,15,"Var olan topluluk, kitlenin nerede olduğunun doğrudan kanıtıdır",Genel kullanıcı sayısı istatistikleri — hedef kitleyi ayırmaz
yerel-hizmet,cografi-yogunluk,Hedef bölgede yeterli yoğunluk var mı?,kategoriye-ozel,Yerel üründe bir şehirde çalışan model diğerinde çalışmayabilir,Hedef şehirdeki işletme sayısı ve yorum yoğunluğu,"Yerel işletme, harita ve hizmet dizinleri",kategori,"Angi, Armut, Bing Maps, Booksy",23,17,Dizindeki işletme sayısı o bölgedeki gerçek arzın ölçüsüdür,Şehrin nüfusu — hizmet talebiyle doğrudan orantılı değildir
yerel-hizmet,doygun-mu,"Pazar doygun mu, boşluk var mı?",ortak,Doygunsa farklılaşma zorunlu; değilse hızlı giriş mümkün,Bölgedeki hizmet sağlayıcı sayısı ve yorumun ilk 10'da toplanma oranı,"Yerel işletme, harita ve hizmet dizinleri",kategori,"Angi, Armut, Bing Maps, Booksy",23,17,Yorum yoğunlaşması yerleşik oyuncuların varlığını gösterir,İşletme sayısı tek başına — çoğu dijital kanalda aktif olmayabilir
yerel-hizmet,giris-engeli,Bu pazara girişin önünde ne var?,ortak,"Teknik, yasal ya da dağıtım engeli varsa maliyet ve süre değişir",Alandaki patent başvuru yoğunluğu ve baskın hak sahipleri,Patent ve marka,ortak,"EUIPO, Google Patents, Justia Patents, The Trademark Search Company",13,9,Patent kaydı kamuya açık ve tarihlidir,Patent sayısının çokluğu tek başına — çoğu uygulanmıyor olabilir
yerel-hizmet,odeme-istegi,"Kullanıcılar bunun için para ödüyor mu, ne kadar?",ortak,Fiyat aralığı iş modelini ve gereken ölçeği belirler,Hizmet fiyat aralıkları ve platform komisyonları,"Yerel işletme, harita ve hizmet dizinleri",kategori,"Angi, Armut, Bing Maps, Booksy",23,17,İlan edilen hizmet fiyatı gerçek işlem bedeline yakındır,Ortalama gelir istatistikleri
yerel-hizmet,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,ortak,Rakip yoksa ya pazar yoktur ya da erken; varsa kimin ne yaptığı bilinmeli,Bölgedeki hizmet sağlayıcılar ve platform kullanım oranları,"Yerel işletme, harita ve hizmet dizinleri",kategori,"Angi, Armut, Bing Maps, Booksy",23,17,"Dizin kaydı, işletmenin dijital kanalda olduğunu gösterir",Sektör derneği üye sayıları
yerel-hizmet,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,ortak,Rakip yoksa ya pazar yoktur ya da erken; varsa kimin ne yaptığı bilinmeli,"Alanda yatırım almış şirketler, tur büyüklükleri ve tarihleri","Şirket, yatırım ve startup verisi",ortak,"500 Global Companies, AngelList, Apollo, CB Insights",28,26,Yatırım kaydı doğrulanabilir ve tarihlidir,Basın bültenlerindeki 'lider konum' iddiaları
yerel-hizmet,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,ortak,Farklılaşmanın nereden geleceğini belirler; ürün kararını doğrudan etkiler,Tekrar eden şikâyet ve 'alternatif arıyorum' gönderileri,Sosyal ağlar ve açık topluluklar,ortak,"Bluesky, Discord, Discourse, Groups.io",24,15,Kullanıcı kendi sorununu kendi cümlesiyle yazar,Beğeni sayısı yüksek tek bir gönderi
yerel-hizmet,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Hedef kitlenin büyüklüğü ve ilgili sektör istatistikleri,Kamu verisi ve istatistik,ortak,"Bureau of Labor Statistics, Data.gov, Destatis, Eurostat",25,21,Resmî istatistik yöntemi açıklanmış ve tekrarlanabilir ölçümdür,Pazar araştırması şirketlerinin ücretli rapor özetleri
yerel-hizmet,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Problem ifade eden uzun kuyruk aramaların hacmi,"Trafik, SEO, anahtar kelime ve trend",ortak,"Ahrefs, AnswerThePublic, Bing Webmaster Tools, BuzzSumo",24,23,"İnsanın kendi kelimeleriyle aradığı problem, doğrudan talep sinyalidir","Marka adı aramaları — mevcut farkındalığı ölçer, ihtiyacı değil"
yerel-hizmet,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",ortak,"Küçülen pazara girmek, doygun pazara girmekten daha risklidir",Anahtar kelimenin aylık arama hacmi ve 24 aylık eğrisi,"Trafik, SEO, anahtar kelime ve trend",ortak,"Ahrefs, AnswerThePublic, Bing Webmaster Tools, BuzzSumo",24,23,Arama hacmi niyetin ölçüsüdür ve zaman serisi yön verir,Tek bir aylık hacim; 'trend oluyor' diyen yazılar
yerel-hizmet,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,ortak,Ürün doğru olsa bile dağıtım kanalı yoksa satılamaz,Rakiplerin hangi kanalda reklam verdiği ve mesaj başlıkları,Reklam kütüphaneleri ve pazarlama sinyalleri,ortak,"Adbeat, AppMagic, BigSpy, Google Ads Transparency Center",16,14,"Reklam kütüphaneleri yayınlanmış gerçek reklamları gösterir; para harcanan kanal, işleyen kanaldır",'Sosyal medyadan ulaşırız' varsayımı — hangi kanalın çalıştığını söylemez
yerel-hizmet,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,ortak,Ürün doğru olsa bile dağıtım kanalı yoksa satılamaz,Hedef kitlenin toplandığı topluluklar ve üye sayıları,Sosyal ağlar ve açık topluluklar,ortak,"Bluesky, Discord, Discourse, Groups.io",24,15,"Var olan topluluk, kitlenin nerede olduğunun doğrudan kanıtıdır",Genel kullanıcı sayısı istatistikleri — hedef kitleyi ayırmaz
