fikir,kategori,katmanlar,ekler,soru_id,soru,yuva,kaynak_grubu,kanit_turu,birincil_kaynak,yedekler,host,izin_durumu,olcum_alani,dogrulanmis_alan,kaynak_rolu,neden_secildi,yuva_sayisi
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,3,Ürün lansmanı ve startup toplulukları,Son 12 ayda aynı problemi hedefleyen lansmanlar ve aldıkları tepki,There's An AI For That,"Futurepedia, Microlaunch",theresanaiforthat.com,robots-izinli,"puan, urun_sayisi, yorum_sayisi",,destekleyici,3. kanıt yuvası (Ürün lansmanı ve startup toplulukları),3
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,1,Ürün lansmanı ve startup toplulukları,Lansman yorumlarında tekrar eden eksik/istek başlıkları,There's An AI For That,"Futurepedia, Microlaunch",theresanaiforthat.com,robots-izinli,"puan, urun_sayisi, yorum_sayisi",,destekleyici,1. kanıt yuvası (Ürün lansmanı ve startup toplulukları),3
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,2,Mobil uygulama mağazaları,Düşük puanlı yorumlarda tekrar eden şikâyet başlıkları,Google Play Store,"Apple App Store, APKMirror",play.google.com,robots-izinli,"fiyat, indirme_sayisi, puan, siralama, urun_sayisi, yorum_sayisi",,cekirdek,2. kanıt yuvası (Mobil uygulama mağazaları); kategorinin çekirdek kaynağı,3
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,3,Sosyal ağlar ve açık topluluklar,Tekrar eden şikâyet ve 'alternatif arıyorum' gönderileri,Lemmy,"Hacker News, YouTube",join-lemmy.org,api-acik,kayit_sayisi,,destekleyici,3. kanıt yuvası (Sosyal ağlar ve açık topluluklar); açık API,3
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,talep-var-mi,Bu ürüne gerçekten talep var mı?,1,"Trafik, SEO, anahtar kelime ve trend",Problem ifade eden uzun kuyruk aramaların hacmi,Similarweb,"Ahrefs, SE Ranking",similarweb.com,robots-izinli,"arama_hacmi, kayit_sayisi, trend_serisi",kayit_sayisi,destekleyici,"1. kanıt yuvası (Trafik, SEO, anahtar kelime ve trend); 1 alanı artefaktta doğrulanmış",3
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,talep-var-mi,Bu ürüne gerçekten talep var mı?,2,Mobil uygulama mağazaları,Kategorideki uygulama sayısı ve ilk 20'nin toplam yorum hacmi,Google Play Store,"Apple App Store, APKMirror",play.google.com,robots-izinli,"fiyat, indirme_sayisi, puan, siralama, urun_sayisi, yorum_sayisi",,cekirdek,2. kanıt yuvası (Mobil uygulama mağazaları); kategorinin çekirdek kaynağı,3
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,talep-var-mi,Bu ürüne gerçekten talep var mı?,3,Kamu verisi ve istatistik,Hedef kitlenin büyüklüğü ve ilgili sektör istatistikleri,TÜİK,"US Census Bureau, IMF Data",tuik.gov.tr,robots-izinli,"istatistik_serisi, trend_serisi",,destekleyici,3. kanıt yuvası (Kamu verisi ve istatistik),3
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",1,"Trafik, SEO, anahtar kelime ve trend",Anahtar kelimenin aylık arama hacmi ve 24 aylık eğrisi,Similarweb,"Ahrefs, SE Ranking",similarweb.com,robots-izinli,"arama_hacmi, kayit_sayisi, trend_serisi",kayit_sayisi,destekleyici,"1. kanıt yuvası (Trafik, SEO, anahtar kelime ve trend); 1 alanı artefaktta doğrulanmış",3
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",2,Akademik araştırma ve bilimsel yayınlar,Konudaki yıllık yayın sayısının eğrisi,Dimensions,"Web of Science, Lens.org",dimensions.ai,robots-izinli,"kayit_sayisi, trend_serisi",kayit_sayisi,destekleyici,2. kanıt yuvası (Akademik araştırma ve bilimsel yayınlar); 1 alanı artefaktta doğrulanmış,3
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,talep-yonu,"Talep büyüyor mu, küçülüyor mu?",3,Mobil uygulama mağazaları,"Sıralama değişimi ve indirme tahmini eğrisi (Sensor Tower, AppMagic)",Google Play Store,"Apple App Store, APKMirror",play.google.com,robots-izinli,"fiyat, indirme_sayisi, puan, siralama, urun_sayisi, yorum_sayisi",,cekirdek,3. kanıt yuvası (Mobil uygulama mağazaları); kategorinin çekirdek kaynağı,3
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,1,Reklam kütüphaneleri ve pazarlama sinyalleri,Rakiplerin hangi kanalda reklam verdiği ve mesaj başlıkları,Google Ads Transparency Center,"TikTok Creative Center, SocialPeta",adstransparency.google.com,robots-izinli,kayit_sayisi,,destekleyici,1. kanıt yuvası (Reklam kütüphaneleri ve pazarlama sinyalleri),2
yerel esnaf için randevu uygulaması,yerel-hizmet,mobil-uygulama,,ulasilabilir-mi,Hedef kullanıcıya ulaşılabiliyor mu?,2,Sosyal ağlar ve açık topluluklar,Hedef kitlenin toplandığı topluluklar ve üye sayıları,Lemmy,"Hacker News, YouTube",join-lemmy.org,api-acik,kayit_sayisi,,destekleyici,2. kanıt yuvası (Sosyal ağlar ve açık topluluklar); açık API,2
